Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:58 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.59778	0.63362
0.59778	0.63733
0.59778	0.63201
0.59778	0.63475
0.60214	0.63700
0.60214	0.63636
0.60214	0.62283
0.60214	0.63588
0.60214	0.63378
0.60214	0.63652
0.61087	0.63926
0.61523	0.64715
0.62396	0.65183
0.62396	0.65779
0.62396	0.65618
0.62396	0.65505
0.62396	0.65698
0.62396	0.65376
0.62396	0.65811
0.62396	0.65714
0.63705	0.66681
0.64141	0.67052
0.64577	0.67696
0.64577	0.67358
0.64577	0.67599
0.64577	0.67567
0.64577	0.67615
0.64577	0.67519
0.64577	0.67744
0.64577	0.67632
0.65886	0.68469
0.66323	0.68598
0.66323	0.68824
0.66323	0.69178
0.66323	0.69388
0.66323	0.69323
0.66323	0.68663
0.66323	0.69194
0.66323	0.69452
0.66323	0.68904
0.66323	0.69178
0.66323	0.69291
0.67195	0.69307
0.68068	0.70225
0.68941	0.70644
0.68941	0.70564
0.68941	0.70725
0.68941	0.70822
0.68941	0.70677
0.68941	0.70177
0.68941	0.70580
0.68941	0.70306
0.68941	0.70644
0.68941	0.70338
0.69377	0.70532
0.69377	0.70580
0.69377	0.71031
0.69813	0.70967
0.69813	0.70870
0.69813	0.70886
0.69813	0.71047
0.69813	0.71079
0.69813	0.70902
0.69813	0.70741
0.70250	0.71192
0.70686	0.70870
0.71122	0.71498
0.71122	0.71402
0.71122	0.71547
0.71122	0.71466
0.71558	0.71450
0.71995	0.71385
0.72867	0.72433
0.73304	0.72207
0.73304	0.72239
0.73304	0.72352
0.73304	0.71837
0.73304	0.72449
0.73304	0.72610
0.73304	0.72336
0.73304	0.72320
0.73304	0.72497
0.74176	0.72175
0.75049	0.72964
0.75485	0.72980
0.75485	0.73061
0.75922	0.71772
0.75922	0.72594
0.75922	0.72884
0.75922	0.72465
0.76358	0.72932
0.76358	0.73061
0.76794	0.73190
0.77231	0.73303
0.77231	0.72497
0.77231	0.72787
0.77231	0.72997
0.77231	0.73093
0.77231	0.73013
0.78103	0.72771
0.78540	0.73238
0.79412	0.72578
0.79412	0.73190
0.79412	0.73029
0.79412	0.72642
0.79412	0.72997
0.79849	0.73142
0.80285	0.72723
0.80285	0.72497
0.80285	0.72932
0.80285	0.72980
0.80285	0.72497
0.80285	0.72964
0.80285	0.72835
0.80285	0.72400
0.80285	0.73270
0.80285	0.72771
0.80285	0.72755
0.80285	0.72932
0.81158	0.72819
0.82030	0.72690
0.82030	0.72594
0.82030	0.72207
0.82030	0.72465
0.82030	0.72529
0.82030	0.72368
0.82030	0.72884
0.82903	0.72239
0.82903	0.72336
0.82903	0.72127
0.82903	0.72433
0.82903	0.72497
0.82903	0.72207
0.82903	0.72723
0.82903	0.73528
0.83776	0.71949
0.83776	0.72304
0.83776	0.72239
0.83776	0.72191
0.83776	0.71724
0.83776	0.71659
0.83776	0.72223
0.83776	0.72288
0.83776	0.72191
0.83776	0.72175
0.83776	0.72368
0.83776	0.71982
0.83776	0.72078
0.83776	0.72143
0.83776	0.71965
0.83776	0.72062
0.83776	0.71933
0.83776	0.72304
0.83776	0.72110
0.83776	0.72191
0.83776	0.71772
0.83776	0.72304
0.83776	0.70838
0.83776	0.72433
0.83776	0.72175
0.83776	0.72127
0.83776	0.72191
0.83776	0.72352
0.83776	0.71804
0.83776	0.71998
0.83776	0.71112
0.85521	0.71692
0.85521	0.71965
0.85521	0.71289
0.85521	0.71579
0.85521	0.71740
0.85521	0.71708
0.85521	0.72014
0.86394	0.71482
0.86830	0.71047
0.87266	0.70902
0.87266	0.70838
0.87266	0.70822
0.87266	0.70580
0.87266	0.70902
0.87266	0.70338
0.87266	0.70161
0.88139	0.70419
0.89012	0.69903
0.89448	0.69823
0.89448	0.69823
0.89448	0.69484
0.89448	0.69581
0.89448	0.69243
0.89448	0.69678
0.89448	0.69452
0.89448	0.69597
0.90757	0.68759
0.91193	0.68292
0.91193	0.67905
0.91193	0.67970
0.91193	0.68147
0.91193	0.68502
0.91193	0.67825
0.91193	0.68389
0.91630	0.67938
0.91630	0.68050
0.92066	0.67164
0.92066	0.67245
0.92502	0.67422
0.92939	0.67019
0.93811	0.66439
0.94248	0.66230
0.95120	0.65521
0.95557	0.64973
0.95557	0.64587
0.95557	0.64490
0.95557	0.64683
0.95557	0.64732
0.95557	0.64152
0.95557	0.64425
0.95557	0.64506
0.95557	0.64667
0.95557	0.64828
0.95557	0.64570
0.95557	0.64071
0.95557	0.64506
0.95557	0.64828
0.95557	0.64667
0.95557	0.64748
0.95557	0.64732
0.95557	0.64732
0.95557	0.64506
0.95557	0.64683
0.95557	0.64232
0.95557	0.64619
0.95557	0.64135
0.95557	0.64812
0.95557	0.64168
0.95557	0.64184
0.95557	0.64860
0.95557	0.64925
0.95557	0.64039
0.95557	0.64941
0.95557	0.64458
0.95557	0.64490
0.95557	0.64635
0.95557	0.64442
0.96429	0.63910
0.97302	0.63137
0.98175	0.61960
0.98175	0.61848
0.98175	0.62250
0.98175	0.62234
0.98175	0.62234
0.98175	0.62073
0.99047	0.61219
0.99920	0.60398
1.00356	0.59318
1.00356	0.60059
1.00356	0.59012
1.00356	0.59673
1.00356	0.59511
1.00356	0.59737
1.00356	0.59511
1.00356	0.59560
1.00356	0.59898
1.00356	0.59624
1.00356	0.58996
1.00356	0.59866
1.00356	0.59721
1.00356	0.59302
1.00356	0.59624
1.00356	0.59624
