# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:09 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
185.05000	0.69291
185.05000	0.69726
185.05000	0.70113
185.05000	0.70032
185.06667	0.70064
185.06667	0.69565
185.06667	0.69162
185.08333	0.68775
185.08333	0.68679
185.08333	0.68663
185.13333	0.68163
185.51667	0.65199
185.81667	0.68228
185.95000	0.69935
185.95000	0.69065
185.95000	0.68856
185.95000	0.69452
185.95000	0.70354
185.95000	0.69694
185.95000	0.68292
185.95000	0.65843
185.95000	0.61654
185.95000	0.61251
185.95000	0.61928
185.95000	0.59705
185.93333	0.56982
185.93333	0.56483
185.93333	0.60188
185.93333	0.68163
185.91667	0.70483
185.90000	0.70886
185.88333	0.71289
185.86667	0.70644
185.85000	0.70918
185.83333	0.71289
185.73333	0.70983
185.58333	0.71885
185.51667	0.73029
185.50000	0.73351
185.48333	0.73270
185.46667	0.73915
185.46667	0.73351
185.45000	0.73625
185.43333	0.73013
185.40000	0.72674
185.38333	0.70080
185.36667	0.67744
185.33333	0.65972
185.31667	0.65859
185.30000	0.66923
185.26667	0.69082
185.23333	0.69919
185.20000	0.70403
185.16667	0.70564
185.13333	0.72449
185.10000	0.74575
185.08333	0.75816
185.08333	0.76009
185.06667	0.76170
185.06667	0.75784
185.06667	0.76090
185.06667	0.76315
185.05000	0.76493
185.05000	0.76106
185.03333	0.76025
185.03333	0.75655
185.03333	0.75510
185.01667	0.76251
185.01667	0.75349
185.00000	0.75848
184.98333	0.75220
184.98333	0.74688
184.96667	0.74962
184.95000	0.75494
184.91667	0.75719
184.90000	0.76412
184.86667	0.76686
184.83333	0.76444
184.80000	0.76847
184.75000	0.76670
184.71667	0.76396
184.66667	0.76605
184.65000	0.76831
184.63333	0.76589
184.61667	0.77024
184.58333	0.77830
184.56667	0.78184
184.56667	0.78507
184.55000	0.78523
184.53333	0.79264
184.51667	0.79183
184.50000	0.78861
184.48333	0.78394
184.46667	0.78603
184.43333	0.79087
184.40000	0.79377
184.38333	0.80698
184.36667	0.80456
184.33333	0.81084
184.31667	0.80714
184.30000	0.81229
184.28333	0.81407
184.26667	0.81777
184.25000	0.81809
184.21667	0.81825
184.20000	0.81471
184.18333	0.81906
184.16667	0.82196
184.15000	0.82228
184.13333	0.81439
184.11667	0.81455
184.11667	0.80327
184.10000	0.81036
184.10000	0.81777
184.10000	0.82309
184.10000	0.81535
184.10000	0.79167
184.10000	0.21070
184.10000	-0.00068
184.10000	0.00222
184.10000	0.18347
184.10000	0.79957
184.10000	0.79038
184.11667	0.79957
184.11667	0.80230
184.11667	0.79522
184.11667	0.79183
184.11667	0.79296
184.11667	0.79054
184.11667	0.79538
184.11667	0.79344
184.11667	0.79296
184.13333	0.79812
184.13333	0.79683
184.13333	0.79554
184.13333	0.79409
184.13333	0.76170
184.13333	0.74269
184.13333	0.72078
184.13333	0.68389
184.13333	0.67052
184.13333	0.66455
184.13333	0.63104
184.13333	0.63572
184.13333	0.69146
184.13333	0.67632
184.13333	0.67744
184.13333	0.64200
184.13333	0.64023
184.13333	0.65714
184.13333	0.64941
184.13333	0.64345
184.13333	0.55709
184.13333	0.40210
184.13333	0.42643
184.13333	0.42240
184.13333	0.50183
184.13333	0.69533
184.13333	0.73029
184.13333	0.67213
184.13333	0.69984
184.13333	0.70354
184.13333	0.70467
184.13333	0.70515
184.13333	0.69871
184.13333	0.70129
184.13333	0.70451
184.13333	0.70209
184.13333	0.70306
184.13333	0.70193
184.13333	0.69935
184.13333	0.69678
184.13333	0.66923
184.15000	0.67535
184.15000	0.59189
184.15000	0.59060
184.15000	0.62073
184.15000	0.67744
184.15000	0.70064
184.15000	0.70741
184.15000	0.70548
184.15000	0.72014
184.15000	0.71369
184.15000	0.72255
184.16667	0.72594
184.16667	0.73142
184.16667	0.72449
184.16667	0.73593
184.16667	0.74157
184.16667	0.72449
184.15000	0.71563
184.16667	0.71063
184.16667	0.71369
184.16667	0.71547
184.16667	0.71273
184.16667	0.71466
184.16667	0.71756
184.16667	0.71482
184.16667	0.71708
184.16667	0.70934
184.16667	0.71112
184.16667	0.71321
184.16667	0.71031
184.16667	0.71224
184.16667	0.71208
184.16667	0.70596
184.16667	0.70870
184.16667	0.70886
184.18333	0.62557
184.18333	0.27337
184.18333	0.07215
184.18333	0.15641
184.18333	0.30737
184.18333	0.31720
184.18333	0.31301
184.18333	0.30560
184.18333	0.29770
184.18333	0.28804
184.20000	0.28046
184.20000	0.19620
184.20000	0.01398
184.21667	-0.00245
184.21667	0.00222
184.21667	0.00158
184.21667	0.00222
184.23333	0.00255
184.23333	0.00110
184.25000	0.00158
184.26667	-0.00019
184.26667	0.00303
184.28333	0.00351
184.28333	0.00818
184.30000	0.00464
184.31667	0.00400
184.33333	-0.00068
184.33333	-0.00100
184.33333	0.00158
184.33333	0.00255
184.33333	0.00190
184.35000	0.00142
184.35000	0.00383
184.35000	0.04911
184.35000	0.04653
184.35000	0.04717
184.35000	0.04540
184.35000	0.03428
184.35000	0.02011
184.36667	0.00899
184.36667	0.00770
184.36667	0.00222
184.36667	0.00383
184.36667	0.00029
184.36667	0.00126
184.36667	-0.00003
184.36667	0.00061
184.36667	-0.00084
184.36667	-0.00261
184.36667	0.00142
184.36667	0.00110
184.35000	0.00045
184.35000	-0.00003
184.35000	0.00045
184.35000	0.00126
184.35000	-0.00213
184.35000	0.00271
184.35000	0.00093
184.35000	-0.00164
184.33333	0.00206
184.33333	0.00126
184.31667	-0.00197
184.30000	0.00110
184.28333	-0.00213
184.26667	0.00174
184.25000	-0.00035
184.25000	0.00061
184.23333	0.00142
184.21667	0.00093
184.20000	-0.00003
184.18333	-0.00100
184.16667	-0.00100
184.13333	0.00029
184.10000	0.00029
184.06667	-0.00197
183.98333	-0.00245
183.75000	-0.00148
183.58333	-0.00148
183.53333	-0.00068
183.50000	-0.00100
183.48333	-0.00245
183.46667	0.00045
183.46667	0.00061
183.46667	-0.00019
183.46667	-0.00132
183.46667	-0.00084
183.46667	0.00335
183.46667	0.39550
183.45000	0.41386
183.45000	0.00174
183.45000	0.04443
183.45000	0.08117
183.45000	-0.00052
183.45000	-0.00052
183.45000	0.00158
183.45000	0.00093
183.45000	0.00142
183.45000	0.00206
183.45000	0.16108
183.45000	0.44496
183.45000	0.55758
183.45000	0.36263
183.45000	0.05265
183.45000	0.03219
183.43333	0.03831
183.43333	0.05168
183.43333	0.05136
183.43333	0.05330
183.43333	0.01592
183.43333	0.02156
183.43333	0.12886
183.43333	0.13546
183.43333	0.13047
183.41667	0.18347
183.41667	0.15609
183.41667	0.38180
183.40000	0.63475
183.40000	0.68469
183.38333	0.71466
183.35000	0.72690
183.31667	0.68824
183.26667	0.67132
183.21667	0.69645
183.16667	0.69065
183.13333	0.71998
183.10000	0.66101
183.06667	0.74559
183.05000	0.76460
183.01667	0.79683
182.98333	0.80214
182.93333	0.81680
182.90000	0.82518
182.86667	0.83517
182.85000	0.83453
182.85000	0.84677
182.83333	0.85902
182.81667	0.86240
182.80000	0.86272
182.80000	0.86917
182.78333	0.86256
182.78333	0.87706
182.76667	0.87352
182.75000	0.87722
182.75000	0.88044
182.73333	0.87996
182.71667	0.88834
182.71667	0.88882
182.70000	0.88592
182.70000	0.88302
182.70000	0.87819
182.70000	0.87126
182.70000	0.88189
182.70000	0.92829
182.68333	0.92701
182.66667	0.87158
