Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
183.93333	0.85950
183.95000	0.61606
183.95000	0.56450
183.95000	0.68695
183.96667	0.75768
183.96667	0.78764
183.98333	0.81697
183.98333	0.82550
184.00000	0.90542
184.01667	0.93490
184.05000	0.96873
184.06667	0.98211
184.08333	0.99290
184.08333	0.98678
184.10000	0.98307
184.10000	0.99242
184.10000	0.98339
184.10000	0.98501
184.10000	0.97614
184.11667	0.97002
184.11667	0.97163
184.13333	0.96406
184.13333	0.97631
184.13333	0.97067
184.15000	0.97244
184.16667	0.96906
184.18333	0.97405
184.20000	0.97904
184.23333	0.98871
184.26667	1.00659
184.28333	1.00563
184.28333	0.99419
184.28333	1.00434
184.28333	0.99918
184.30000	0.99483
184.31667	0.97614
184.33333	1.05525
184.35000	1.07507
184.36667	1.08022
184.36667	1.08425
184.36667	1.08457
184.38333	1.08280
184.38333	1.05896
184.40000	1.07072
184.43333	1.06991
184.45000	1.07346
184.48333	1.08296
184.50000	1.08618
184.50000	1.08087
184.51667	1.08844
184.53333	1.08296
184.53333	1.07974
184.55000	1.07507
184.55000	1.06572
184.55000	1.06250
184.55000	1.05702
184.55000	1.05686
184.56667	1.05735
184.56667	1.06282
184.56667	1.04268
184.56667	1.04977
184.56667	1.05235
184.58333	1.04703
184.58333	1.04993
184.58333	1.04510
184.61667	1.04301
184.65000	1.05074
184.68333	1.05348
184.71667	1.06991
184.75000	1.06121
184.76667	1.07233
184.80000	1.07394
184.83333	1.07620
184.86667	1.05509
184.90000	1.03253
184.90000	1.00015
184.91667	1.00047
184.91667	1.00595
184.91667	1.00498
184.91667	1.00402
184.91667	0.99773
184.93333	0.99773
184.93333	0.98549
184.93333	0.99113
184.95000	1.00160
184.96667	1.01336
184.98333	1.00611
185.00000	1.00418
185.01667	1.01981
185.03333	1.01803
185.03333	1.00788
185.05000	0.99274
185.06667	0.98275
185.06667	0.97147
185.08333	0.96148
185.08333	0.95037
185.08333	0.95536
185.10000	0.94167
185.11667	0.92266
185.15000	0.90300
185.18333	0.88721
185.23333	0.92523
185.25000	1.01755
185.25000	1.02931
185.26667	1.03286
185.26667	1.03769
185.26667	1.01819
185.26667	1.00982
185.28333	0.97421
185.28333	0.95907
185.30000	0.95439
185.31667	0.94714
185.33333	0.93136
185.35000	0.94054
185.38333	0.94167
